"","fips","name","adi","financial_strength","economic_hardship_and_inequality","educational_attainment","year","total_population","fips_found","AR_found","ED_found","HE_found","HU_found","OT_found","acled_all","demonstrations","strategic_developments","political_violence","political_violence_demonstrations","fips_density","AR_density","ED_density","HU_density","OT_density","HE_density","cdev_density","cdev_nf","cdev_found","fips_nf","AR_nf","ED_nf","HU_nf","OT_nf","HE_nf","state_code"
"28","01055","Etowah County, Alabama",107.562523512691,89.3548603259306,104.82964410194,101.515031794081,2020,102721,0,0,0,0,0,0,15,14,1,0,0,252,21,22,84,100,25,14,14,0,252,21,22,84,100,25,"01"
"29","01057","Fayette County, Alabama",114.928663933021,81.2153257786706,110.033760475575,98.1285150155429,2020,16406,1,0,0,0,0,1,0,0,0,0,0,55,5,10,17,21,2,4,4,0,55,5,10,17,21,2,"01"
"30","01059","Franklin County, Alabama",119.044968210231,80.0398047517221,108.66086077404,76.5620897366001,2020,31587,0,0,0,0,0,0,0,0,0,0,0,54,3,3,19,27,2,0,0,0,54,3,3,19,27,2,"01"
"31","01061","Geneva County, Alabama",111.595659266257,85.0012435611482,103.735649804893,92.4139202471169,2020,26383,1,0,0,0,1,0,1,1,0,0,0,36,3,4,10,18,1,0,0,0,36,3,4,10,18,1,"01"
"32","01063","Greene County, Alabama",146.039709757966,72.540558523458,157.681824070172,90.5896472896559,2020,8221,1,0,0,0,1,0,0,0,0,0,0,26,4,0,15,5,2,0,0,0,26,4,0,15,5,2,"01"
"33","01065","Hale County, Alabama",122.077428022627,88.5695147630198,125.706334226371,86.9255403859382,2020,14754,1,0,0,0,1,0,0,0,0,0,0,42,6,7,9,18,2,3,3,0,42,6,7,9,18,2,"01"
"34","01067","Henry County, Alabama",107.475138567373,90.1320067917277,99.6797457331451,89.0872556364504,2020,17123,1,0,0,0,0,1,0,0,0,0,0,36,2,3,13,16,2,2,1,1,35,2,3,13,15,2,"01"
"35","01069","Houston County, Alabama",104.021509879426,96.5288911921632,106.257721332038,104.211888582959,2020,105319,5,0,2,0,2,1,3,3,0,0,0,247,24,28,70,105,20,6,6,0,247,24,28,70,105,20,"01"
"36","01071","Jackson County, Alabama",109.268915382559,87.3725332581275,102.617281024926,93.5631092213786,2020,51765,1,0,0,0,0,1,0,0,0,0,0,109,6,5,34,58,6,3,3,0,109,6,5,34,58,6,"01"
"37","01073","Jefferson County, Alabama",96.2678783477711,109.514812948671,106.594793260442,112.207464601566,2020,658615,18,1,5,1,5,6,49,48,0,1,0,2488,218,374,691,975,230,103,103,0,2487,218,374,690,975,230,"01"
"38","01075","Lamar County, Alabama",108.876834627582,82.6360505175911,99.148835086618,93.7466776790162,2020,13854,0,0,0,0,0,0,0,0,0,0,0,32,4,2,7,18,1,1,1,0,32,4,2,7,18,1,"01"
"39","01077","Lauderdale County, Alabama",99.356491770746,94.3345113062449,97.6952914404098,108.59996702705,2020,92870,0,0,0,0,0,0,14,14,0,0,0,800,17,415,56,298,14,8,8,0,800,17,415,56,298,14,"01"
"40","01079","Lawrence County, Alabama",107.931612918446,88.4298514722705,98.8068372631524,87.5705006119406,2020,32969,0,0,0,0,0,0,1,1,0,0,0,49,9,10,14,16,0,0,0,0,49,9,10,14,16,0,"01"
"41","01081","Lee County, Alabama",95.078266097381,110.374191361652,102.871285014313,106.152390522329,2020,163461,3,0,1,0,0,2,12,12,0,0,0,378,27,88,98,146,19,15,15,0,377,27,88,98,145,19,"01"
"42","01083","Limestone County, Alabama",94.1747977074614,101.846943707579,90.1713000433527,98.8591595375075,2020,96921,0,0,0,0,0,0,3,3,0,0,0,124,15,15,29,58,7,3,3,0,124,15,15,29,58,7,"01"
"43","01085","Lowndes County, Alabama",131.065865859125,80.1927833752381,136.675016590479,93.0721920167485,2020,9936,0,0,0,0,0,0,1,1,0,0,0,23,1,2,12,6,2,3,3,0,23,1,2,12,6,2,"01"
"44","01087","Macon County, Alabama",124.08278060189,84.9508608574685,132.018883516261,99.7043869423047,2020,18437,0,0,0,0,0,0,2,2,0,0,0,87,9,20,27,28,3,5,5,0,87,9,20,27,28,3,"01"
"45","01089","Madison County, Alabama",83.9613037069376,117.836001149205,91.9867568074697,113.836084504526,2020,367686,5,1,1,0,1,2,45,43,2,0,0,1026,111,177,287,370,81,29,29,0,1024,110,176,287,370,81,"01"
"46","01091","Marengo County, Alabama",114.780852486262,87.8358844219103,118.902917164142,105.075266462949,2020,19138,1,0,0,0,0,1,0,0,0,0,0,58,11,7,14,23,3,3,3,0,58,11,7,14,23,3,"01"
"47","01093","Marion County, Alabama",112.496630166971,81.9178588976435,101.83469047659,86.9723636120254,2020,29818,0,0,0,0,0,0,0,0,0,0,0,51,3,5,20,21,2,6,6,0,51,3,5,20,21,2,"01"
"48","01095","Marshall County, Alabama",105.518533940772,93.0485643888042,99.8008622277958,90.3755012457993,2020,96137,1,0,0,0,1,0,15,14,1,0,0,191,23,12,64,81,11,8,8,0,191,23,12,64,81,11,"01"
"49","01097","Mobile County, Alabama",103.762800868718,99.0599782763769,108.576408288238,106.10521365051,2020,413977,4,1,1,0,0,2,25,25,0,0,0,1188,86,156,375,487,84,55,55,0,1187,86,156,375,486,84,"01"
"50","01099","Monroe County, Alabama",125.576123075598,84.0950971027178,133.793341619894,100.872363419372,2020,21006,0,0,0,0,0,0,0,0,0,0,0,55,6,7,13,25,4,6,6,0,55,6,7,13,25,4,"01"
"51","01101","Montgomery County, Alabama",106.522202460911,101.648278359374,116.157102631803,103.350618174846,2020,226451,6,2,0,0,2,2,35,33,2,0,0,1027,76,154,316,371,110,46,46,0,1025,76,154,315,370,110,"01"
"52","01103","Morgan County, Alabama",103.137439203959,93.9788152679105,97.8024003453397,93.1862669713981,2020,119352,0,0,0,0,0,0,5,4,0,1,0,280,22,20,93,123,22,7,7,0,280,22,20,93,123,22,"01"
"53","01105","Perry County, Alabama",146.48166877234,70.8265752002421,152.50722693368,86.3016595944239,2020,9104,0,0,0,0,0,0,0,0,0,0,0,20,3,8,3,6,0,4,4,0,20,3,8,3,6,0,"01"
"54","01107","Pickens County, Alabama",120.761185894191,82.3582910896389,120.46598017571,94.5029186128315,2020,20049,1,0,0,0,0,1,2,2,0,0,0,45,9,3,14,18,1,5,5,0,45,9,3,14,18,1,"01"
"55","01109","Pike County, Alabama",108.111398963385,96.1461387106842,114.331082735429,107.291427658143,2020,33274,0,0,0,0,0,0,1,1,0,0,0,98,12,22,20,39,5,4,4,0,98,12,22,20,39,5,"01"
"56","01111","Randolph County, Alabama",110.933528478273,86.2883628532931,102.32457038074,88.0559313758837,2020,22732,0,0,0,0,0,0,1,1,0,0,0,38,2,2,13,21,0,3,3,0,38,2,2,13,21,0,"01"
"57","01113","Russell County, Alabama",113.437094682251,92.0354864120051,118.052055796316,100.028184950616,2020,57938,1,0,0,0,1,0,2,2,0,0,0,74,6,11,29,26,2,2,2,0,74,6,11,29,26,2,"01"
"58","01115","St. Clair County, Alabama",92.5695077130784,102.962602622182,87.2295075742875,99.3887969577332,2020,88929,0,0,0,0,0,0,0,0,0,0,0,150,10,21,38,77,4,2,2,0,150,10,21,38,77,4,"01"
"59","01117","Shelby County, Alabama",71.2635811245741,126.296060944826,75.7200042615754,118.294080833742,2020,216350,1,0,1,0,0,0,3,3,0,0,0,482,40,66,132,210,34,11,11,0,481,40,65,132,210,34,"01"
"60","01119","Sumter County, Alabama",128.751014398548,78.1539024565112,134.213775258262,100.844522650088,2020,12595,0,0,0,0,0,0,0,0,0,0,0,65,9,12,21,20,3,4,4,0,65,9,12,21,20,3,"01"
"61","01121","Talladega County, Alabama",114.429405265846,86.8662889923449,112.810365323911,94.5587244153899,2020,80244,1,0,0,0,0,1,3,3,0,0,0,175,10,30,63,63,9,6,6,0,175,10,30,63,63,9,"01"
"62","01123","Tallapoosa County, Alabama",117.276567078196,84.7462424443325,115.841839558084,90.6735637772946,2020,40450,0,0,0,0,0,0,1,1,0,0,0,83,8,5,30,32,8,3,3,0,83,8,5,30,32,8,"01"
"63","01125","Tuscaloosa County, Alabama",97.4302331346815,105.781505009201,104.41187132635,109.991858022345,2020,208854,0,0,0,0,0,0,16,16,0,0,0,554,40,143,135,194,42,12,12,0,554,40,143,135,194,42,"01"
"64","01127","Walker County, Alabama",109.930430471595,88.3985286937581,103.369370548487,89.4212667845431,2020,63802,0,0,0,0,0,0,2,2,0,0,0,139,8,8,52,61,10,4,4,0,139,8,8,52,61,10,"01"
"65","01129","Washington County, Alabama",106.630869453201,91.5848013202375,101.746224854185,99.4170635594446,2020,16336,0,0,0,0,0,0,0,0,0,0,0,39,3,3,16,17,0,3,3,0,39,3,3,16,17,0,"01"
"66","01131","Wilcox County, Alabama",136.158882590606,75.8800244923634,142.393323743018,90.6939072510676,2020,10552,1,0,0,0,1,0,0,0,0,0,0,37,7,3,12,14,1,2,2,0,37,7,3,12,14,1,"01"
"67","01133","Winston County, Alabama",114.938218979701,81.1379461156969,103.915699700866,84.932368489665,2020,23712,0,0,0,0,0,0,0,0,0,0,0,52,3,0,8,40,1,3,3,0,52,3,0,8,40,1,"01"
"68","02013","Aleutians East Borough, Alaska",100.594789740433,105.973557451043,108.791468363378,95.0128259738727,2020,3389,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,3,1,0,1,1,0,"02"
"69","02016","Aleutians West Census Area, Alaska",77.9517676520178,129.029292804484,87.7598243298625,86.9249345390138,2020,5708,0,0,0,0,0,0,1,1,0,0,0,17,4,1,7,3,2,2,2,0,17,4,1,7,3,2,"02"
"70","02020","Anchorage Municipality, Alaska",69.7645240539512,142.858956978043,86.1792327295576,110.956693645033,2020,292090,3,1,1,1,0,0,32,32,0,0,0,1435,150,190,443,529,123,35,35,0,1434,149,190,443,529,123,"02"
"71","02050","Bethel Census Area, Alaska",139.04870150422,109.310631130489,167.642230950788,23.0824431940617,2020,18263,0,0,0,0,0,0,3,3,0,0,0,27,4,4,8,6,5,0,0,0,27,4,4,8,6,5,"02"
"72","02060","Bristol Bay Borough, Alaska",74.4988155642312,127.665977957707,83.4830076498785,106.559586307956,2020,739,0,0,0,0,0,0,0,0,0,0,0,8,0,1,2,4,1,0,0,0,8,0,1,2,4,1,"02"
"73","02063","Chugach Census Area, Alaska",68.8436237641275,126.401410583047,72.3862013182502,115.884699066748,2020,6495,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"02"
"74","02066","Copper River Census Area, Alaska",81.5631027919005,116.856449064708,88.0423874592481,115.650873384902,2020,2894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"02"
"75","02068","Denali Borough, Alaska",76.1243248027578,113.003499575195,76.934762073895,122.937835030673,2020,2502,0,0,0,0,0,0,0,0,0,0,0,15,1,3,6,5,0,1,1,0,15,1,3,6,5,0,"02"
"76","02070","Dillingham Census Area, Alaska",118.220090925626,118.605777034883,141.345134878096,46.0704769614966,2020,4934,0,0,0,0,0,0,1,1,0,0,0,17,2,2,6,5,2,2,2,0,17,2,2,6,5,2,"02"
"77","02090","Fairbanks North Star Borough, Alaska",75.5729377082434,129.327291039149,86.2313207150764,109.687246192363,2020,98455,2,0,1,0,0,1,3,3,0,0,0,457,45,60,166,151,35,7,7,0,457,45,60,166,151,35,"02"
"78","02100","Haines Borough, Alaska",89.1119936254548,113.319158140385,98.7155574926783,105.474124266086,2020,2547,0,0,0,0,0,0,3,3,0,0,0,38,12,2,11,12,1,0,0,0,38,12,2,11,12,1,"02"
"79","02105","Hoonah-Angoon Census Area, Alaska",100.265635487928,112.085140589605,120.941845486769,114.215784206166,2020,2135,0,0,0,0,0,0,0,0,0,0,0,16,1,4,3,7,1,3,3,0,16,1,4,3,7,1,"02"
"80","02110","Juneau City and Borough, Alaska",63.9573193630967,147.480988254757,83.0716491312594,121.139930776981,2020,32099,2,0,0,0,2,0,12,11,1,0,0,290,48,29,103,97,13,7,7,0,290,48,29,103,97,13,"02"
"81","02122","Kenai Peninsula Borough, Alaska",82.9045128958039,123.366771493368,92.4376198654069,108.298280531013,2020,58809,1,0,1,0,0,0,13,13,0,0,0,346,39,31,117,131,28,9,9,0,346,39,31,117,131,28,"02"
"82","02130","Ketchikan Gateway Borough, Alaska",80.1739958259066,127.778525954372,93.8274460062964,111.479496611444,2020,13833,0,0,0,0,0,0,3,3,0,0,0,99,11,7,35,41,5,1,1,0,99,11,7,35,41,5,"02"
"83","02150","Kodiak Island Borough, Alaska",84.076292736504,131.126138327348,96.680101640696,84.8763573164315,2020,13383,1,0,0,0,0,1,4,4,0,0,0,82,9,12,24,31,6,5,5,0,82,9,12,24,31,6,"02"
"84","02158","Kusilvak Census Area, Alaska",180.042073260845,76.5896152425988,212.191292074098,-4.04429905256839,2020,8298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"02"
"85","02164","Lake and Peninsula Borough, Alaska",125.913836944164,95.9303699839142,148.475125843711,82.4154921139628,2020,1156,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,3,0,0,0,0,6,0,2,1,3,0,"02"
"86","02170","Matanuska-Susitna Borough, Alaska",82.2369923896198,124.678309409026,92.18000840305,109.282071605315,2020,107360,0,0,0,0,0,0,6,6,0,0,0,328,25,55,115,117,16,11,11,0,328,25,55,115,117,16,"02"
"87","02180","Nome Census Area, Alaska",130.964967791997,113.814772303725,162.106666197786,37.2363427612577,2020,10009,0,0,0,0,0,0,4,4,0,0,0,29,6,3,7,12,1,2,2,0,29,6,3,7,12,1,"02"
"88","02185","North Slope Borough, Alaska",113.273430056975,111.568125433251,129.855544076913,37.0967056920538,2020,9375,1,0,1,0,0,0,1,1,0,0,0,13,2,1,4,6,0,0,0,0,13,2,1,4,6,0,"02"
"89","02188","Northwest Arctic Borough, Alaska",134.990263746502,113.125033988238,165.929195390115,19.3353572326735,2020,7709,0,0,0,0,0,0,1,1,0,0,0,13,2,1,6,4,0,0,0,0,13,2,1,6,4,0,"02"
"90","02195","Petersburg Borough, Alaska",88.0787326823331,108.038282022887,87.1197251263924,101.017052854381,2020,3278,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,1,0,0,0,0,2,1,0,0,1,0,"02"
"91","02198","Prince of Wales-Hyder Census Area, Alaska",102.220351693589,105.179898936093,111.700092335663,105.235563805076,2020,6338,0,0,0,0,0,0,1,1,0,0,0,21,1,6,7,7,0,3,3,0,21,1,6,7,7,0,"02"
"92","02220","Sitka City and Borough, Alaska",70.7949293300354,140.750611505611,89.4721357048936,118.853800380017,2020,8569,1,0,0,0,1,0,5,5,0,0,0,85,20,8,23,28,6,3,3,0,85,20,8,23,28,6,"02"
"93","02230","Skagway Municipality, Alaska",78.1054884080549,129.259914831208,82.5948998266073,91.2185162552267,2020,1300,0,0,0,0,0,0,1,1,0,0,0,15,1,0,3,10,1,3,3,0,15,1,0,3,10,1,"02"
"94","02240","Southeast Fairbanks Census Area, Alaska",88.3193654190773,114.424601960279,93.1230348443064,99.5082826053139,2020,6911,0,0,0,0,0,0,0,0,0,0,0,51,5,10,18,16,2,3,3,0,51,5,10,18,16,2,"02"
"95","02275","Wrangell City and Borough, Alaska",88.0541402564845,110.972098466963,92.4071525244966,111.99130840407,2020,2510,0,0,0,0,0,0,0,0,0,0,0,26,4,2,10,9,1,0,0,0,26,4,2,10,9,1,"02"
"96","02282","Yakutat City and Borough, Alaska",93.5698038938522,105.658786914137,102.083716266238,110.775959376381,2020,597,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1,0,0,0,0,5,1,1,2,1,0,"02"
"97","02290","Yukon-Koyukuk Census Area, Alaska",135.268833952496,92.4327736657,159.432950028745,75.3177893423889,2020,5305,0,0,0,0,0,0,0,0,0,0,0,22,9,2,4,6,1,3,3,0,22,9,2,4,6,1,"02"
"98","04001","Apache County, Arizona",138.523534496188,79.9122445343552,140.490929602525,58.8089191120558,2020,71714,0,0,0,0,0,0,0,0,0,0,0,106,11,11,34,41,9,6,6,0,106,11,11,34,41,9,"04"
"99","04003","Cochise County, Arizona",100.91375709283,99.2669512113932,102.485680198155,102.562467278941,2020,126442,0,0,0,0,0,0,7,7,0,0,0,422,55,45,110,190,22,13,13,0,422,55,45,110,190,22,"04"
"100","04005","Coconino County, Arizona",92.2695458689771,124.011722877675,106.96381725715,99.6939454477957,2020,142254,1,0,0,0,1,0,12,12,0,0,0,451,57,74,131,155,34,15,15,0,451,57,74,131,155,34,"04"
"101","04007","Gila County, Arizona",106.343222557328,98.6211617368032,109.470832058369,100.18727167663,2020,53846,3,0,1,0,2,0,2,2,0,0,0,197,20,18,53,91,15,8,8,0,196,20,18,52,91,15,"04"
"102","04009","Graham County, Arizona",107.100943600524,95.2482577946992,106.686272673646,92.9359560720684,2020,38304,0,0,0,0,0,0,1,1,0,0,0,83,6,10,13,49,5,1,1,0,83,6,10,13,49,5,"04"
"103","04011","Greenlee County, Arizona",103.651999533819,81.7438472388556,92.5585215216144,90.1991132309008,2020,9465,0,0,0,0,0,0,1,1,0,0,0,17,2,2,6,7,0,1,1,0,17,2,2,6,7,0,"04"
"104","04012","La Paz County, Arizona",128.174437781961,78.8472904612291,125.696075284989,77.7471614247165,2020,21035,0,0,0,0,0,0,0,0,0,0,0,58,4,2,10,36,6,6,6,0,58,4,2,10,36,6,"04"
"105","04013","Maricopa County, Arizona",86.7503024917308,124.513851804979,95.5219426241308,96.014111960648,2020,4412779,36,3,8,3,11,11,187,174,10,3,0,8198,753,1290,2430,3006,719,169,169,0,8195,753,1290,2429,3006,717,"04"
"106","04015","Mohave County, Arizona",105.939693401858,93.9907854390843,105.300826603507,98.757880324686,2020,210998,1,0,1,0,0,0,14,13,1,0,0,425,37,40,122,201,25,8,8,0,425,37,40,122,201,25,"04"
"107","04017","Navajo County, Arizona",122.203517997685,91.0532635072455,126.793792372571,78.3964318929372,2020,110271,1,0,0,0,1,0,2,0,2,0,0,226,28,29,64,92,13,8,8,0,226,28,29,64,92,13,"04"
"108","04019","Pima County, Arizona",98.1383866449507,109.62404747226,106.399316567147,101.276502743759,2020,1038476,11,1,1,0,5,4,58,51,4,2,1,2672,305,398,777,967,225,70,70,0,2670,305,398,775,967,225,"04"
"109","04021","Pinal County, Arizona",94.3751775253719,108.401969269982,94.6620005980651,96.8994907115789,2020,447559,5,1,0,0,2,2,12,11,1,0,0,441,39,42,146,191,23,14,14,0,440,39,42,146,190,23,"04"
"110","04023","Santa Cruz County, Arizona",120.501288737429,86.8246347062816,114.167695675343,67.4163120950616,2020,46594,1,0,0,0,1,0,6,5,1,0,0,137,16,18,38,55,10,9,9,0,137,16,18,38,55,10,"04"
"111","04025","Yavapai County, Arizona",90.2787186900514,110.644416189404,94.7768178473129,113.341851807941,2020,232396,2,0,1,0,0,1,25,7,18,0,0,812,94,101,239,328,50,26,26,0,812,94,101,239,328,50,"04"
"112","04027","Yuma County, Arizona",119.827766571694,92.0912581712386,111.169055160529,48.2719882565527,2020,211931,0,0,0,0,0,0,4,4,0,0,0,271,25,32,94,102,18,9,9,0,271,25,32,94,102,18,"04"
"113","05001","Arkansas County, Arkansas",109.723600313811,88.6784290222132,108.208298752377,96.0031867407271,2020,17761,1,0,0,0,1,0,2,1,1,0,0,75,3,12,19,36,5,6,6,0,75,3,12,19,36,5,"05"
"114","05003","Ashley County, Arkansas",109.979287298692,80.4224572766573,99.4422074349175,96.138188601024,2020,20000,0,0,0,0,0,0,1,1,0,0,0,64,4,7,24,24,5,1,1,0,64,4,7,24,24,5,"05"
"115","05005","Baxter County, Arkansas",100.075954969694,89.480421514538,93.5388577179901,108.490637651741,2020,41673,2,0,1,0,1,0,2,2,0,0,0,149,13,17,54,59,6,5,5,0,149,13,17,54,59,6,"05"
"116","05007","Benton County, Arkansas",83.3040362857745,113.184171991549,81.6293234751028,98.8007857755448,2020,273510,2,0,0,0,1,1,15,14,1,0,0,575,65,84,163,214,49,9,9,0,575,65,84,163,214,49,"05"
"117","05009","Boone County, Arkansas",100.249894165365,90.3446075492018,94.1387298008532,105.49797415687,2020,37525,0,0,0,0,0,0,4,3,1,0,0,154,8,18,56,64,8,6,6,0,154,8,18,56,64,8,"05"
"118","05011","Bradley County, Arkansas",115.023915907512,82.493306384387,110.878813808373,91.0669842751764,2020,10805,0,0,0,0,0,0,0,0,0,0,0,32,1,1,8,17,5,2,2,0,32,1,1,8,17,5,"05"
"119","05013","Calhoun County, Arkansas",106.926939774911,81.5370490330169,97.3834416260863,105.015319891162,2020,5160,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9,3,2,0,0,0,14,0,0,9,3,2,"05"
"120","05015","Carroll County, Arkansas",102.476708983832,89.6465089402375,91.628693735215,87.1524769966551,2020,28062,0,0,0,0,0,0,0,0,0,0,0,91,14,12,21,37,7,6,6,0,91,14,12,21,37,7,"05"
"121","05017","Chicot County, Arkansas",133.326665279214,76.8970384784762,135.633370858931,82.6293450209691,2020,10433,0,0,0,0,0,0,0,0,0,0,0,29,3,3,5,13,5,2,2,0,29,3,3,5,13,5,"05"
"122","05019","Clark County, Arkansas",109.377052711327,88.0536697458557,110.238960956858,104.961898736725,2020,22341,0,0,0,0,0,0,1,1,0,0,0,98,5,23,26,41,3,5,5,0,98,5,23,26,41,3,"05"
"123","05021","Clay County, Arkansas",117.698343269923,81.6015120759458,113.935411828187,91.912316700477,2020,14710,0,0,0,0,0,0,0,0,0,0,0,30,1,1,7,17,4,0,0,0,30,1,1,7,17,4,"05"
